Pickup point,Request timestamp,
Airport,11:51:00,
Airport,17:57:00,
City,09:17:00,
Airport,21:08:00,
City,08:33:16,
Airport,21:57:28,
Airport,06:15:32,
Airport,05:11:52,
City,17:57:27,
City,06:46:00,
Airport,05:08:00,
City,12:30:00,
Airport,04:49:20,
City,08:02:53,
City,14:23:02,
Airport,17:23:18,
City,12:01:02,
Airport,22:24:13,
Airport,10:00:00,
Airport,18:45:00,
Airport,11:17:00,
Airport,15:46:00,
Airport,18:00:00,
Airport,08:17:29,
Airport,21:54:18,
City,21:23:03,
City,02:41:38,
City,10:00:43,
City,13:08:00,
Airport,06:21:00,
City,09:27:00,
City,16:09:00,
Airport,05:34:20,
Airport,19:57:59,
City,02:17:35,
City,13:01:10,
Airport,08:30:06,
Airport,15:01:20,
City,07:27:00,
Airport,11:03:00,
City,20:58:00,
Airport,08:40:00,
City,14:48:00,
City,21:32:00,
City,07:28:14,
City,12:14:27,
City,06:43:01,
Airport,09:08:50,
Airport,22:41:41,
Airport,05:45:00,
Airport,13:02:00,
Airport,06:50:33,
City,21:53:03,
Airport,02:37:14,
City,14:50:07,
City,21:33:55,
Airport,00:03:39,
City,07:52:51,
Airport,14:28:50,
City,19:31:00,
Airport,22:07:00,
City,20:39:00,
City,03:39:38,
City,09:11:13,
Airport,18:52:32,
City,09:50:28,
Airport,15:50:15,
Airport,08:18:00,
Airport,19:39:00,
City,08:57:00,
City,21:05:00,
Airport,10:22:07,
City,11:55:10,
Airport,09:08:00,
Airport,17:46:00,
Airport,23:39:00,
Airport,05:13:00,
City,18:20:00,
Airport,08:04:57,
Airport,17:03:30,
Airport,20:41:24,
City,23:58:41,
City,04:21:42,
Airport,17:58:46,
Airport,05:47:49,
Airport,11:51:16,
Airport,09:13:00,
Airport,15:08:00,
City,09:47:06,
City,07:24:43,
City,13:31:24,
Airport,06:33:00,
Airport,16:32:51,
City,14:11:00,
City,10:00:17,
City,13:29:44,
City,06:42:36,
City,18:22:17,
Airport,07:08:50,
City,08:22:03,
Airport,19:46:40,
Airport,03:17:00,
City,06:51:00,
City,21:05:00,
Airport,05:59:00,
City,20:18:00,
Airport,22:28:00,
Airport,02:14:15,
City,10:35:14,
Airport,19:31:20,
Airport,07:04:55,
City,10:07:49,
City,19:04:46,
City,05:32:00,
Airport,07:24:00,
City,11:51:00,
City,19:15:00,
Airport,08:01:00,
City,08:09:04,
Airport,05:32:14,
City,11:13:19,
City,21:43:24,
Airport,05:00:13,
Airport,22:08:42,
Airport,05:21:00,
City,06:15:00,
City,09:24:00,
Airport,21:03:00,
City,13:01:42,
City,21:45:50,
Airport,17:34:25,
Airport,23:32:44,
Airport,19:18:00,
Airport,23:43:00,
City,09:39:44,
City,21:52:05,
City,08:42:46,
Airport,20:34:30,
City,12:22:35,
Airport,20:02:54,
City,11:25:00,
City,14:16:00,
Airport,20:50:00,
Airport,23:23:00,
City,05:05:16,
Airport,10:12:51,
Airport,15:32:01,
Airport,22:26:26,
City,04:37:11,
City,08:36:24,
City,14:04:13,
Airport,22:51:47,
City,16:11:02,
Airport,20:33:00,
City,12:25:00,
Airport,18:25:00,
Airport,22:10:00,
City,07:33:20,
City,14:54:16,
City,18:47:42,
Airport,23:35:34,
Airport,04:48:57,
Airport,11:48:32,
Airport,20:21:26,
City,09:39:00,
Airport,20:42:00,
Airport,03:14:00,
Airport,09:12:00,
Airport,11:32:00,
City,01:46:42,
City,05:28:29,
Airport,22:35:38,
City,16:47:15,
Airport,20:57:41,
City,09:43:57,
City,09:36:00,
City,05:21:00,
City,14:30:00,
Airport,21:29:00,
Airport,21:06:57,
Airport,06:11:51,
City,08:00:15,
City,10:03:42,
Airport,12:04:15,
City,09:20:00,
Airport,13:51:00,
City,21:05:00,
City,16:08:00,
Airport,18:46:00,
City,12:40:58,
City,19:33:19,
City,08:45:13,
City,19:50:57,
City,10:20:00,
Airport,12:23:00,
Airport,20:28:11,
Airport,08:26:32,
Airport,13:11:04,
City,20:54:20,
City,05:05:00,
City,08:01:00,
Airport,13:02:00,
City,18:28:00,
Airport,21:01:00,
City,10:32:00,
City,21:01:00,
City,08:02:03,
Airport,12:24:41,
City,18:39:00,
Airport,15:39:24,
City,20:17:51,
Airport,23:27:22,
City,05:53:55,
City,09:52:57,
Airport,22:45:44,
Airport,09:48:00,
City,15:53:00,
Airport,00:22:00,
City,06:09:00,
Airport,07:52:00,
City,16:36:00,
City,03:07:37,
City,06:17:01,
City,12:25:02,
City,02:23:56,
City,04:53:42,
City,08:35:47,
Airport,10:54:27,
City,15:26:06,
Airport,08:00:00,
City,19:52:00,
Airport,00:34:03,
City,04:56:20,
City,12:23:02,
Airport,15:52:07,
Airport,20:35:24,
City,04:48:09,
City,12:06:27,
Airport,18:21:52,
City,21:29:35,
City,08:46:30,
Airport,15:45:16,
Airport,18:41:22,
City,16:23:00,
City,20:20:00,
Airport,23:35:00,
City,05:27:26,
City,14:59:08,
City,18:31:29,
City,20:38:10,
City,09:48:56,
City,17:37:44,
Airport,05:41:11,
City,17:11:08,
City,22:07:14,
City,07:31:00,
City,17:04:00,
Airport,18:14:00,
City,21:51:00,
City,05:20:16,
City,08:54:04,
City,16:12:53,
Airport,22:50:42,
Airport,19:33:00,
City,06:04:00,
Airport,12:20:00,
City,16:19:00,
Airport,09:03:00,
City,12:10:00,
Airport,15:51:00,
Airport,20:43:00,
Airport,05:50:09,
Airport,20:24:23,
Airport,08:26:29,
City,21:09:47,
Airport,18:59:01,
City,21:59:10,
City,04:50:00,
City,21:17:00,
Airport,07:44:00,
City,04:33:38,
Airport,09:51:41,
Airport,19:56:20,
Airport,18:02:23,
Airport,20:54:01,
City,23:02:36,
Airport,06:26:00,
Airport,12:05:00,
City,05:18:31,
Airport,06:34:13,
City,13:47:14,
Airport,18:07:42,
City,20:30:08,
Airport,09:48:17,
Airport,18:29:54,
City,19:53:52,
Airport,09:45:00,
Airport,03:02:00,
Airport,07:18:00,
Airport,16:14:00,
City,22:46:00,
City,08:41:49,
Airport,20:15:54,
Airport,08:13:15,
City,16:43:53,
City,04:59:58,
Airport,20:19:45,
Airport,23:23:55,
Airport,12:14:00,
Airport,15:48:00,
City,19:53:00,
Airport,10:10:00,
Airport,06:18:36,
City,09:37:21,
Airport,14:44:32,
Airport,22:15:45,
Airport,17:34:00,
Airport,11:23:36,
City,19:33:18,
City,16:41:52,
City,09:47:11,
City,17:11:33,
City,21:03:02,
City,05:32:00,
City,15:27:00,
Airport,18:22:00,
City,05:16:00,
City,11:45:00,
City,08:15:34,
Airport,23:13:54,
City,05:11:15,
City,17:50:37,
City,15:30:00,
City,02:38:48,
Airport,05:46:42,
Airport,17:50:59,
City,11:58:46,
City,19:21:16,
Airport,08:02:00,
Airport,16:19:00,
City,22:01:00,
City,05:41:00,
City,12:22:00,
City,05:53:33,
City,14:52:52,
City,18:25:52,
Airport,04:28:35,
City,14:52:43,
City,21:09:57,
Airport,22:29:56,
Airport,20:17:00,
Airport,06:39:00,
Airport,09:35:00,
Airport,16:19:00,
Airport,03:50:03,
Airport,07:26:03,
City,15:16:52,
Airport,21:34:21,
City,08:39:44,
City,20:50:52,
City,06:15:54,
Airport,21:40:39,
Airport,05:55:00,
City,07:43:00,
Airport,09:35:00,
City,08:58:00,
Airport,18:12:00,
City,21:05:00,
City,05:37:01,
City,13:52:52,
Airport,19:52:54,
Airport,23:01:45,
Airport,12:43:09,
Airport,17:19:56,
City,18:21:09,
City,05:12:00,
City,06:49:00,
City,09:19:00,
City,08:12:39,
Airport,14:40:53,
Airport,05:38:17,
City,08:12:21,
Airport,10:48:38,
City,18:31:06,
City,06:31:00,
City,15:05:00,
City,07:38:51,
City,18:54:52,
City,06:22:04,
City,14:43:10,
Airport,23:51:00,
City,06:18:00,
City,20:38:00,
City,19:39:52,
