Name,Latitude,Longitude
Purva Skydale bangalore,12.894033,77.6623617
Salarpuria Sattva Cadenza bangalore,12.889441,77.6402211
Shriram Summitt bangalore,12.8360678,77.6672418
Shriram Luxor bangalore,13.085249,77.6549154
Ecolife Elements Of Nature bangalore,12.9387277,77.7311262
Salarpuria Sattva East Crest bangalore,13.043223,77.7482414
Shriram Greenfield Phase 1 bangalore,13.0708496,77.7512724
Century Infiniti bangalore,12.8975268,77.6772502
Vaswani Exquisite bangalore,12.98979,77.7242795
Vaishnavi Gardenia bangalore,13.0425402,77.5194121
Bren Edgewaters bangalore,12.9022215,77.6699666
DSMAX SAROVAR bangalore,12.7815368,77.7818487
Niranjan Tridha bangalore,12.8810058,77.6361614
Bren Imperia bangalore,12.9068814,77.671808
Nandi Citadel bangalore,12.8613592,77.6068838
Sobha Avenue bangalore,13.0287887,77.7496788
Provident Sunworth bangalore,12.8818045,77.4705858
Purva Northern Waves bangalore,13.0630984,77.6629563
Prestige Falcon City bangalore,12.885663,77.563775
Mahaveer Ranches bangalore,12.8783657,77.6708668
SNN Raj Etternia bangalore,12.8905902,77.6681103
Karsten Palm Groves bangalore,12.7741873,77.6961678
Salarpuria Sattva Celesta bangalore,13.018456,77.703632
DSMAX SKYCITY bangalore,13.0810365,77.6343988
Meda Greens bangalore,12.9206595,77.4926622
Phoenix One Bangalore West bangalore,13.0097168,77.5540958
Salarpuria Sattva Greenage Phase II bangalore,12.9024372,77.6313115
Mahidhara Fortune City bangalore,12.7748955,77.7830251
Candeur Carlisle bangalore,12.9969877,77.6899549
Arya Hamsa Grande bangalore,12.8595081,77.574026
Pashmina Waterfront bangalore,13.0244407,77.7116346
Purva Palm Beach bangalore,13.0631903,77.6626025
Prestige Song Of The South bangalore,12.8620814,77.6137471
Skylark Ithaca bangalore,13.0124263,77.7355337
Salarpuria Sattva Laurel Heights bangalore,13.060724,77.507677
Sumo Sonnet bangalore,12.889868,77.6488791
Kritan Ira bangalore,12.8211271,77.660999
MDVR Byrathi Residency bangalore,13.0536883,77.6572283
Candeur Landmark bangalore,12.9218714,77.7373607
Sterling Ascentia bangalore,12.92889,77.681633
Vaishnavi Terraces bangalore,12.904254,77.599514
Sobha Dream Acres bangalore,12.9391021,77.7376639
PSR Krish Kamal bangalore,12.8404406,77.6435767
GP North Avenue bangalore,13.0827637,77.622828
Hiren High Cliff bangalore,12.9124433,77.6517185
JR Nexus bangalore,12.7715636,77.7018348
G Corp The Icon bangalore,13.0473654,77.6254839
