Name,Latitude,Longitude
Whitefield TTMC Parking,12.9768104 77.7261418,77.7268777
Unnamed,12.9144446 77.6379875,77.6370005
Unnamed,12.8843772 77.7266328,77.7265518
Unnamed,12.8936344 77.6009788,77.6009517
Unnamed,12.8930358 77.6016071,77.6015096
Unnamed,12.9331803 77.6139911,77.6132694
Unnamed,12.9777494 77.5698209,77.5706624
Unnamed,13.1820966 77.5594558,77.5597481
Unnamed,12.95703 77.5822259,77.581836
Chowdiah Hall Parking,13.0076112 77.5753304,77.5753073
Unnamed,12.9748356 77.5911141,77.5910155
Unnamed,12.9769978 77.5984375,77.5983091
Unnamed,13.0718568 77.6581834,77.6579962
Vydhehi Hospital Parking,12.9763584 77.7284104,77.7273869
Unnamed,12.989219 77.5885727,77.5881992
Unnamed,12.9853606 77.5897422,77.5898794
Multi level Car parking,12.9922795 77.7301322,77.7301365
Unnamed,12.9361016 77.6963551,77.6963878
Unnamed,12.8008177 77.5777445,77.5781215
Parking for Doctors and Staff,12.9582774 77.6479393,77.6484206
Visitors' parking,12.958048 77.647725,77.6478068
Unnamed,13.0085476 77.6922371,77.692047
Unnamed,12.9838915 77.6027466,77.6030181
Unnamed,13.0055636 77.692105,77.692097
Unnamed,13.0212268 77.7649681,77.7649813
Unnamed,13.0288262 77.5671061,77.5671375
Unnamed,13.0286374 77.5681278,77.5681712
Unnamed,12.9896251 77.6531797,77.6534089
MLCP,13.013734 77.5559279,77.5559627
Unnamed,13.0138435 77.5557427,77.5556843
Whitefield Station Car Park,12.9969162 77.7613235,77.7613581
Belair Parking,12.9567773 77.7090292,77.7090077
Visitors'Car Park,12.9583701 77.7073582,77.7073911
Unnamed,12.957002 77.7059152,77.7058803
Unnamed,12.9564581 77.6444814,77.6439992
Bhagini Iris Parking,12.9555691 77.7290349,77.7291025
Unnamed,12.9911737 77.5954875,77.5952278
Unnamed,12.9767062 77.7422222,77.7425082
Bus Parking,12.9771372 77.7418829,77.7417922
BMS College Parking,12.9415122 77.5664301,77.5665212
Unnamed,12.9272521 77.6323862,77.6323738
Unnamed,12.9617652 77.6385442,77.6383237
Unnamed,12.9757061 77.555283,77.5546569
Unnamed,13.0290841 77.5654202,77.5653317
Unnamed,13.0294273 77.5704893,77.5701202
Unnamed,12.9639541 77.5795501,77.5839269
Unnamed,12.896121 77.5993426,77.5994696
Unnamed,12.8952398 77.5981666,77.5981915
Food Bay and KFC Parking,13.0321509 77.5697306,77.569575
Unnamed,13.0834156 77.6010045,77.6009905
Unnamed,12.9729805 77.7234844,77.7234997
Unnamed,12.9750374 77.7219861,77.7227193
Unnamed,12.9804432 77.7166782,77.7166957
Unnamed,12.9342282 77.6045658,77.6042845
Unnamed,12.9845821 77.5829414,77.5831199
Unnamed,12.9021246 77.5195443,77.5195065
Unnamed,12.9021083 77.5194872,77.5195704
Unnamed,12.9780338 77.6091527,77.6092396
Unnamed,12.9799094 77.6096029,77.6094796
Unnamed,12.9809872 77.6098001,77.6097916
Unnamed,12.981109 77.6095226,77.6095309
MLCP,13.0497007 77.6197224,77.6196542
Unnamed,12.957106 77.5722866,77.57228
Wipro MLCP,12.8386843 77.6557094,77.6539084
Wipro SEZ Car Parking,12.8390579 77.6534519,77.6534187
Unnamed,12.8451948 77.6616764,77.6616576
Infosys Car Parking,12.8483467 77.662423,77.6615861
Unnamed,12.8509118 77.6639715,77.6639767
Unnamed,12.9491436 77.5917029,77.5917198
Unnamed,12.9285587 77.6833112,77.6844647
Multi-Level Car Parking,12.9436708 77.692346,77.6922842
PSK Parking,12.9312547 77.6842128,77.6841813
Unnamed,12.9204146 77.6823781,77.6823675
Unnamed,12.9150884 77.6836894,77.6838038
Live100 Parking,12.8790359 77.6453053,77.6453553
Unnamed,13.058564 77.5860138,77.5860657
Unnamed,13.0210697 77.7651536,77.7650932
High Court Public Parking Area,12.9792143 77.5929408,77.5932747
Yeswantapur Station Parking,13.0240474 77.5504969,77.5505854
Infosys Car Parking,12.8423943 77.6602581,77.6603118
Unnamed,12.9831576 77.7285385,77.728639
Unnamed,13.0686215 77.5858571,77.5852187
Unnamed,13.0290965 77.5670972,77.5671142
Unnamed,12.9146838 77.6760385,77.675971
Unnamed,12.9569346 77.6560855,77.6559626
Unnamed,12.9587748 77.656252,77.6563249
Unnamed,12.9751703 77.5955056,77.5954424
Unnamed,12.9671814 77.5695415,77.5700618
Unnamed,12.9775723 77.5990411,77.5991396
Unnamed,12.974727 77.6008663,77.600664
Unnamed,12.9632228 77.6821561,77.6820878
Unnamed,12.9772682 77.6003695,77.6002223
Unnamed,12.9995786 77.589097,77.5888588
Unnamed,12.9491325 77.5920217,77.5919626
Unnamed,12.9492814 77.5875061,77.5874943
Unnamed,12.9405228 77.576738,77.5754741
Unnamed,12.9809957 77.5908968,77.5907693
Unnamed,12.9796614 77.5887499,77.5890907
Visitor Car parking,13.0632329 77.7495354,77.7493726
Car Parking,13.0634054 77.748895,77.7488946
Unnamed,12.929107 77.6181431,77.6182408
Unnamed,13.0139044 77.564647,77.5644725
Unnamed,12.9725006 77.6436964,77.6432842
Unnamed,13.0012299 77.6179699,77.6180941
CAIR Parking,12.9863459 77.6676269,77.6675557
Unnamed,12.9574956 77.6448464,77.6447377
Unnamed,12.9842247 77.70715,77.7071092
Unnamed,12.9806327 77.6572971,77.6569437
ABBS Parking,13.0036666 77.4836506,77.483436
Unnamed,12.9111218 77.6763879,77.6763148
Unnamed,12.8540815 77.6596101,77.6596954
Unnamed,13.1174404 77.6347969,77.6346837
Unnamed,13.0998944 77.588914,77.5889863
Car/Bike Parking,12.8452817 77.662713,77.6637626
Unnamed,12.9674281 77.6399301,77.6401489
Unnamed,12.9684729 77.5916313,77.5921395
Bike Parking,12.9786886 77.570738,77.5707255
Unnamed,12.9752218 77.6031331,77.6030152
Unnamed,12.9727138 77.5956398,77.5956761
Unnamed,12.9292584 77.6839967,77.6839666
Unnamed,13.0704909 77.5104307,77.5104078
MLCP,13.0513852 77.6205932,77.6207577
Unnamed,12.9851393 77.5909384,77.5910419
Parking space,13.0782251 77.5785147,77.5783013
Unnamed,12.9823518 77.7170107,77.7170103
Unnamed,12.9977837 77.5919268,77.5920993
Unnamed,12.9736358 77.6078295,77.6075002
Unnamed,12.9735775 77.6072507,77.6075216
Unnamed,12.9847826 77.5874466,77.5874595
Unnamed,12.9649546 77.5916612,77.5916965
Unnamed,12.9974853 77.5969023,77.5971871
Unnamed,12.9537268 77.6173528,77.617389
Unnamed,12.9549422 77.5602432,77.5598651
Unnamed,12.9568554 77.5611632,77.5599455
Unnamed,12.9908676 77.583082,77.5832444
Unnamed,12.9592958 77.6491453,77.6490487
Unnamed,13.0344495 77.535029,77.5347058
Unnamed,13.0365008 77.5318646,77.5318882
Unnamed,12.9436613 77.691723,77.6915776
Unnamed,12.9421107 77.6924683,77.6923924
Unnamed,12.9857212 77.7369739,77.7369748
S V Road Metro Station Parking,12.9854707 77.645111,77.6450177
Byappanahalli Station Parking,12.9912665 77.6518106,77.6518427
Unnamed,12.9955423 77.728362,77.7280911
Unnamed,12.9956822 77.7291594,77.7288885
Unnamed,12.9958028 77.7299673,77.7296965
Unnamed,12.9959122 77.730566,77.7303369
Unnamed,12.9937845 77.731324,77.7312799
Unnamed,12.9953929 77.7274994,77.7271507
Unnamed,12.9924592 77.7267294,77.7267347
Unnamed,13.0162431 77.5668139,77.5668329
Bhagini Parking Lot,12.9590955 77.6548461,77.6548097
Unnamed,12.9732116 77.6218624,77.6218456
Unnamed,12.9532195 77.6903473,77.6893818
MLCP,13.0480676 77.6235163,77.623598
Unnamed,13.0463472 77.6199495,77.6202646
MLCP,13.0468291 77.6183307,77.6184532
Unnamed,12.9403377 77.6882836,77.6883525
Vydehi Staff Parking,12.9757684 77.7282478,77.7282961
Visitor's Parking,13.0605689 77.6415088,77.6414038
Unnamed,12.8621938 77.6655987,77.6653144
Unnamed,12.8588297 77.6628763,77.6626939
Unnamed,12.9767452 77.730867,77.7308163
Unnamed,12.958662 77.7456665,77.7457121
Unnamed,13.0574683 77.6419485,77.6417806
Unnamed,12.9613777 77.5997749,77.5997347
Unnamed,12.9230575 77.499,77.4984326
Unnamed,12.9235468 77.5003063,77.4999966
Unnamed,12.91454 77.6788808,77.6784999
