Name,Latitude,Longitude
Whitefield (Kadugodi),12.9956461,77.757859
Hopefarm Channasandra,12.9871126,77.7537582
Kadugodi Tree Park,12.9856768,77.7470262
Pattandur Agrahara,12.9876393,77.7377718
Sathya Sai Hospital,12.9811949,77.7275361
Nallurahalli,12.9766408,77.7248845
Kundalahalli,12.977594,77.7155586
Seetharampalya,12.9809532,77.7087519
Hoodi,12.9888029,77.711326
Garudacharpalya,12.9934505,77.7036768
Singayyanapalya,12.9965445,77.6927176
Krishnarajapura,12.9999042,77.6776721
Nagasandra,13.0479497,77.5001349
Dasarahalli,13.0432607,77.5125535
Jalahalli,13.0394104,77.5197351
Srirampura,12.9965253,77.5631963
Baiyyappanahalli,12.9907623,77.6523976
Swami Vivekananda Road,12.9859306,77.644897
Indiranagar,12.9783325,77.6386612
Halasuru,12.9764992,77.626686
Trinity,12.9730218,77.6170205
Mahatma Gandhi Road,12.9755264,77.6067902
Cubbon Park,12.9809575,77.5975756
"Dr. B R Ambedkar Station, Vidhana Soudha",12.9787419,77.5916385
Sir M Vishweshwariah - Central College,12.9745197,77.58422
"Nadaprabhu Kempegowda Station, Majestic",12.9757079,77.5728757
Krantivira Sangolli Rayanna,12.9758768,77.5653767
Magadi Road,12.975632,77.5553523
"Sri Balagangadaranatha Swamy, Hosahalli",12.9742933,77.5456215
Vijayanagara,12.9709559,77.5374044
Attiguppe,12.9618931,77.5335788
Deepanjali Nagar,12.9520578,77.5370122
Mysore Road,12.9467183,77.5301588
Mantri Square Sampige Road,12.9904629,77.5707293
Mahakavi Kuvempu Road,12.9985297,77.5568986
Rajajinagar,13.0005247,77.5496568
Mahalakshmi,13.0080952,77.5487134
Sandal Soap Factory,13.0146544,77.5539839
Goraguntepalya,13.0284078,77.5408961
Peenya,13.0330189,77.533201
Peenya Industry,13.0363176,77.5254924
Yelachenahalli,12.8960498,77.5701194
J P Nagar,12.9074747,77.5731279
Banashankari,12.9152208,77.573598
Rashtriya Vidyalaya Road,12.9213258,77.5802295
Jayanagar,12.9295069,77.5801439
South End Circle,12.9382573,77.5800556
Lalbagh,12.9465265,77.580016
National College,12.9505161,77.5736794
Krishna Rajendra Market,12.9608788,77.5746578
Chikkapete,12.9668935,77.5745663
Jnana Bharathi,12.9354357,77.5124063
Nayandahalli,12.9416715,77.5251166
Kengeri Bus Terminal,12.914689,77.4878557
Kengeri,12.9079105,77.4765784
Rajarajeshwari Nagar,12.9365996,77.5196788
Pattanagere,12.9242505,77.4983509
Silk Institute,12.8617298,77.5299545
Thalaghattapura,12.8714097,77.5383958
Vajarahalli,12.8774369,77.5447414
Doddakallasandra,12.8846435,77.5527546
Konanakunte Cross,12.8889671,77.5626665
Yeshwanthapura,13.02327289,77.54989341
