Name,Latitude,Longitude
Trinity Circle (Church),12.97251111,77.61981631
Philips (Ulsoor Lake),12.97281667,77.62159964
Binnamangala,12.98395,77.64033296
Benniganahalli,12.99415,77.66351629
Kaggadasapura Jn (Big Bazaar),12.9913,77.65761629
K. R. Puram Rlwy Station,13.00021667,77.67688294
ITI Bus Stop,13.00552777,77.68608293
Vannar Pete,12.95633333,77.62104964
Passport Office,12.94618333,77.61864965
Koramangala (80 FT RD),12.9379,77.62649964
Koramangala (SONY World),12.93696667,77.62668297
NGV Center,12.94261667,77.62259964
Koramangala 1st Block,12.924775,77.63383131
Coles park,12.99825,77.60841632
Fraser town (Doddi stop),13.0028,77.61214965
Amanath Bank Stop,13.00623333,77.61238298
Venketeshpuram02,13.02011666,77.61884965
K.G. Halli,13.02078333,77.61906631
Govindapura Cross,13.03253333,77.62208298
Arabic college,13.02935,77.62066631
Kengeri,12.91036667,77.4839664
Mylasandra (Mysore Raod),12.91771667,77.49069972
Bangalore University Gate,12.93555,77.51306638
Panthara palya,12.94021667,77.52421637
BWSSB Quaters,12.93968333,77.52354971
Byatarayanapura Police Station,12.95166667,77.5399997
Vinayaka Stop,12.96156667,77.56053301
Jaraganhalli,12.90215,77.57339967
Metro Mall (Kanakapura RD),12.89418333,77.56846635
Sarakki Gate,12.91011667,77.57293301
Lalbagh Main Gate,12.9541,77.58499967
Purnima Bus Stop,12.95535,77.585683
Corporation (Kalinga RD),12.96513333,77.587283
Corporation Office,12.9669,77.58811634
T.V. Tower,13.00906667,77.59119967
Yeshwantpur Junction,13.01943889,77.55300525
Govardhan Turning,13.01786667,77.55381636
M E I Factory,13.02468333,77.54743302
MEI (Tumkur RD),13.02643333,77.54401637
8th Mile (Tumkur RD),13.04515,77.50754972
Jalahalli Cross,13.04051667,77.51786638
Dasarahalli (Tumkur Rd),13.04258333,77.51429971
Madiwala Masjid,12.92473333,77.61828298
Adugodi Police Quarters,12.94165,77.60834965
Brigade Road (St Patricks Chur,12.9714,77.60709132
IIM-B,12.8966,77.59989966
G.D. Marra (J.P. Nagar 3rd Ph),12.90804444,77.60041632
BTM Check Post,12.91358333,77.59996633
Jayadeva (Opp Shoppers Stop),12.91408333,77.60003299
Jal Bhavan (Bannerghatta RD),12.92608333,77.60046633
Cantonment RLWY Station,12.99376667,77.59724966
Frazer Town (Post Office),13.00128333,77.61216632
Depot - 10,13.02623333,77.63174964
Varthurkodi,12.95823055,77.74601344
Marathahalli (Jn. Vartur and O,12.95675,77.70214681
Raja Rajeshwari Talkies,12.95921667,77.66166629
Kodihalli,12.9602,77.6453663
Electric Stop (Manipal Center),12.97093333,77.61963298
Byatarayanapura (Blry RD),13.06087778,77.59342744
BIAL Bus Stop,13.19906167,77.70838626
Malleshwaram 18th Cross,13.00869667,77.56890468
Halasuru (Ulsoor),12.975925,77.62645464
Taj Residency,12.974415,77.62005965
Kogillu Cross,13.12304333,77.61145132
Jeevanbhima Nagar,12.96570833,77.65792962
Indira Nagar Police Station,12.97840833,77.64012296
Lake Side Hospital,12.98834833,77.61728965
Bangalore Club (Richmond Circl,12.967645,77.59982299
Bowring Institute (SBI),12.97445,77.60143299
Basaveshwara Circle (L.H.),12.9845,77.58819967
Richmond Circle (Opp Bangalore,12.96500278,77.59658855
White Field Post Office,12.96411333,77.74842288
Siddapur,12.95635,77.73230956
Domlur,12.96123333,77.63649963
Halasuru (Ulsoor) Lake,12.98937333,77.61615632
J.C. Nagar,13.00698333,77.59248133
Koramangala Water tank,12.92745,77.62144964
Madiwala (Check Post),12.93241833,77.61262965
Cunnighama Road,12.98773333,77.594483
Jn. of Koramangala 80ft RD,12.93768333,77.62744964
Koramangala (Jn. Ejipura RD),12.93863055,77.63334964
Dell Complex,12.95453333,77.64138296
Indian Express,12.98373333,77.59702966
HSR Layout (BDA Complex),12.91266667,77.6381163
DELL Complex (Hero Honda),12.95327222,77.64093019
M.G. RD (Manipal Centre),12.97451111,77.61438021
GPO,12.98141944,77.59540244
Bommanahalli,12.90774167,77.62830131
Central Silk Board (Hosur RD),12.91448333,77.62421631
Agara,12.924275,77.65031462
Accenture,12.92688,77.6787596
Kalyananagar,13.02626333,77.6383013
Infosys (Parking Lot),12.850095,77.66286461
Jn.of Sarjapur RD,12.92135167,77.66653794
Intel,12.92749833,77.6795896
Marathahalli Bridge (ORR),12.96005833,77.70149403
Kalyananagar,13.02603,77.6380163
Kempe Gowda Bus Station,12.9775,77.57239968
Hotel Grand Ashoka,12.9915,77.58279967
Chikkalasandra Bus Stand,12.9152,77.55189969
Padmanabhanagara,12.917,77.55949968
Kathariguppe,12.9238,77.55369969
Rajajinagar/Navaranga,12.9979,77.55189969
Malleshwaram Bus Station,13.0086,77.56909968
Sadashivanagar Bhashyam Circle,13.006,77.57969967
Kuvempu Nagar (BTM Layout),12.9162,77.61619965
Dalmiya Circle (J.P. Nagar 3rd,12.9071,77.59511633
Vijaya College,12.939,77.57999967
Minerva Circle,12.9542,77.57999967
Hotel Windsor Manor (Le Meride,12.99400667,77.58509634
Corporation (Kasturba Road),12.9683,77.58669967
Hotel Le Meridean,12.99022778,77.58602745
Esteem Mall,13.04949444,77.59288855
Military Accounts Office (Trin,12.96676667,77.62088298
Command Hospital,12.96495,77.62564964
Hotel Leela Palace (Opp Royal,12.96002777,77.64764129
Borewell (Marathahali RD),12.95493333,77.6865996
Spice Garden,12.95646666,77.70901625
Kundalahalli Gate,12.95638333,77.71484958
Marathalli Bridge,12.95698333,77.70169959
HAL Main Gate (OPP),12.95843,77.66518794
Diamond District,12.96071667,77.64013296
Shivaji Nagar Bus Station,12.98395,77.60303299
Vasanth Nagar (Ambedkar Bhavan,12.9926,77.594883
Bamboo Bazaar,12.9925,77.60441632
Coles RD (Jn. Of Netaji RD),12.99633333,77.60709965
Venketeshpuram01,13.01061666,77.61504965
Thanisandra Petrol Bunk,13.04423333,77.62623298
Sarai Palya (Vidyasagar Cross),13.04726666,77.62848297
Ashwath Nagar (Telecom Colony),13.05241666,77.63111631
RK Hegde nagar,13.07323333,77.6337663
K Narayanapura Cross (RK Hegde,13.06795,77.63368297
RAK Apartments,13.06276666,77.63354964
Thinnasandra,13.0562,77.63298297
Vidyasagar Cross (Sarai palya),13.04741666,77.62859964
Thinnasandra Petrol Bunk,13.04463333,77.62668298
Jn. Of Nagavara,13.04043333,77.62444964
Railway Gate (Frazer Town),13.02546666,77.61984965
P and T Colony,13.01298333,77.61653298
CSI Hospital,12.99173333,77.60463299
Gandhi Statue (Chinnaswami),12.97745,77.59909966
Museum road,12.97435,77.59634966
Clarence School,13.00285,77.61643298
Charles School Bus Stop,13.00633333,77.62103298
Lingarajpura,13.01235,77.62569964
Hennur (Bagalur RD),13.02915,77.63379964
Kothanur,13.06155,77.64881629
Church Cross (Bagalur RD),13.08858333,77.65478296
Kannur,13.09308333,77.65424962
Tavakal Mosque,13.10591666,77.66489962
Chakkalatti,13.12228333,77.66823295
Bagalur,13.13458333,77.66798295
Hosur Bande,13.10611666,77.66086629
Kadasonnapanahalli,13.10145,77.65813296
Byrthi Bande,13.07771389,77.65332185
Bible College,13.0715,77.65156629
Gubbi Cross,13.06411111,77.65161629
Geddalahalli,13.05245,77.64604963
Hennur Bande,13.03685,77.6409663
Hennur Cross,13.0316,77.63593297
Kacharakanahalli,13.02105,77.62991631
Jyothi School,13.01586666,77.62916631
Siddagunta Palya,12.99015,77.65466629
Tin Factory,12.99703333,77.66919961
K.R. Puram Bus Stand,13.00816111,77.69257737
Siddaguntapalya Cross,12.99005,77.65508295
Trinity Circle (TAJ RESIDENCY),12.97161667,77.61963298
Anepalya,12.95141666,77.60526632
Adugodi,12.94376389,77.60779688
St Johns Hospital,12.92966666,77.61566631
Krupanidhi College,12.924,77.62834964
Madiwala Market,12.92216667,77.62201631
Koodlu Gate,12.88926667,77.64004963
Singasandra,12.87706667,77.64719963
P.E.S. College,12.85855,77.66256628
Konappana Agarahara,12.855,77.66536628
Electronic City (Hosur Rd),12.84746667,77.67139961
State Bank  (Electronic City),12.84559444,77.66526628
Ayyappaswami Temple (Madiwala),12.9241,77.61838298
ST John's Hospital,12.92888333,77.61538298
Garuda Mall,12.97005,77.60514966
M.G. Road (Mayo Hall),12.9733,77.60971632
Vivek Nagar Cross,12.9521,77.62073297
Depot - 15,12.94076667,77.62461631
Ibbalur,12.92125,77.66299961
Junnasandara Gate,12.91088333,77.68433293
Dodda Kannelli,12.9067,77.69731626
Ambedkar Nagar (Sarjapura Rd),12.89921667,77.71304958
Kodathi Gate,12.8966,77.72046624
Shoole Kunte,12.89243333,77.72843289
Choudenahall Gate,12.88163611,77.75673287
Dommasandra Circle,12.87961667,77.75366621
Chambenahalli Gate,12.87933333,77.76158287
Yamare Village,12.87225,77.76644953
Sompura Gate,12.86186667,77.7722662
Sarjapura,12.86128333,77.78571619
Sonkad Gate,12.86348333,77.7707662
Muttanalur Cross,12.88728333,77.73908289
Ambedkar Nagar,12.89908333,77.71299958
Railway Gate (Sarjapura RD),12.90213333,77.70649958
Carmeleram College,12.90343333,77.70398291
Kannelli,12.90721667,77.69546626
Junnasandra Gate (Opp),12.91068333,77.6845496
Kaikondanahalli,12.91393333,77.67763293
Parangi Palya,12.91586667,77.65156629
H.S.R Layout 14th Main,12.91576667,77.64891629
H.S.R BDA Complex,12.91586667,77.6384163
Koramangala 4th Block (Maharaj,12.93405,77.62993297
Maharaja Hotel,12.9366,77.62749964
Vivek Nagar Church,12.95186667,77.62103297
Mico (West Gate),12.94246944,77.60295521
Apollo Hospital (Bannerghatta,12.92746667,77.60051633
Arikere Gate,12.89031667,77.59804966
Loyala School Stop,12.87053333,77.59338299
Koli Farm Gate,12.84186667,77.58849966
Bannerghatta Circle,12.81386667,77.58144967
Basavanapura Gate,12.84623333,77.58819966
Bangalore Dairy Circle,12.93521667,77.60136633
Town Hall (N.R. RD),12.9636,77.58376634
Yediyur,12.93095,77.57656634
Deepak Nursing Home,12.9253,77.57696634
Dodda Kallasandra,12.88558333,77.55594969
Muneeshwara Temple (Kanakapura,12.86481667,77.5332497
Tata Silk Farm,12.8537,77.52343303
Agara Gate (Kanakapura RD),12.84886667,77.52203304
Kuppareddykere,12.84233333,77.51768304
Art of Living Ashrama,12.83681667,77.51593304
Kaggalipura,12.80258333,77.50896638
Salhunashe,12.81098333,77.51158304
Udaya palya,12.82021667,77.51354971
Saladoddi,12.83023333,77.51294971
IB College,12.83506667,77.51436638
Jyoti Farm,12.8596,77.52871637
Vajra gate,12.86426667,77.53278303
Thalagattarapura,12.86931667,77.5366997
Bayyanapalya,12.87485,77.54236636
Raghuvanahalli,12.88058333,77.54604969
Gubbalala Cross,12.88403333,77.55071636
Konanakunte Cross,12.89041667,77.56434968
Yelachana Halli,12.89875,77.57234968
Banashankari Bus Station,12.91765,77.57379967
South End Circle,12.93603333,77.58006634
Gunasheela Nursing home,12.94053333,77.576933
Gandhi Bazaar,12.94363333,77.57689967
Mahila Seva Samaj,12.952,77.57654967
Town Hall,12.96385,77.58406634
Sirsi Circle (Mysore Road),12.96025,77.55969968
M.C.T.C Bus Stand  (Big Bazaar),12.95363333,77.54414969
Kengeri Post Office (KST),12.91425,77.4814164
Syndicate Bank (KST),12.922,77.48411639
Kengeri Sat Town (KST),12.92493333,77.4853664
Church (KST),12.92861667,77.48663306
Shirke Apartment (KST),12.93188333,77.4877664
Nayandanahalli,12.94323333,77.5259997
Bapuji Nagar,12.95316667,77.54166637
Mysore Road Circle (Sirsi Circ,12.96008333,77.55646636
Anandpura Stop,12.9635,77.56758301
Magadi Road (5th Ph),12.97571389,77.55961913
Toll Gate (Magadi Road ),12.97415,77.54934969
Dasarahalli (Magadi RD),12.97848333,77.54171637
K.H.B Colony (Mysore RD),12.98093333,77.53581637
Summanahalli,12.98738333,77.51879971
Kottigepalya,12.98781667,77.51536638
Sunkadakatte,12.99016667,77.50438305
Anjananagar,12.98613333,77.4884164
Gollarahatti (Jn.of Nice Rd),12.98848333,77.4730164
Magadi Road (Raman Polytechnic,12.98608333,77.4781164
Bydarahalli,12.98508333,77.4827664
Hero Halli Cross,12.98761667,77.49326639
Kamakshipalya,12.98393333,77.52916637
Magadi Road (K.H.B Colony),12.98136667,77.5351997
Magadi Road (Dasarahalli),12.97893333,77.54108303
Magadi Road 10th Cross,12.97563333,77.55729969
Magadi Road 1st Cross,12.97556667,77.56311635
CPRI Gate,13.01511677,77.57688857
Widia Factory,13.04916667,77.49596639
Chikkabidarakallu,13.05215,77.4876664
Anchepalya,13.05496667,77.4798164
T C I (Tumkur RD),13.05873333,77.46608307
Adakamaranahalli,13.07006667,77.44529975
Dasanapura,13.07513333,77.43611643
Devayanapalya,13.07858333,77.42761643
Arsinakunte,13.07971667,77.42474976
T B stop (Nelamangala RD),13.0972,77.4013831
Colony (Nelamangala),13.09425,77.40541644
TATA Institute (IISC),13.01233333,77.56853301
Indian Express Circle,12.98400833,77.59753299
Jayamahal,12.99999166,77.59513022
Munireddypalya (J.C Nagar),13.00393333,77.59354966
Veterinary College (Hebbala),13.0295,77.586483
Hebbala (Canara Bank),13.03746667,77.589183
